0,0008696914
0,2414008
-0,2067439
-0,3152263
0,04983193
-0,06865054
-0,2066165
0,4129058
-0,04034168
-0,2089617
-0,2601548
-0,1163223
0,1247601
0,4723706
0,04462236
0,2356756
-0,2869127
-0,3248621
0,1783409
0,469692
-0,3407859
-0,05774719
-0,1485375
-0,4057655
-0,05903262
0,4875566
0,3368747
0,3277189
-0,2008851
0,3954142
0,4040629
0,4236412
0,2824005
0,006444395
0,1754104
-0,2810198
0,0656901
-0,2911828
0,09229201
0,1542058
0,2000846
-0,4038851
0,1218578
-0,453102
-0,3056998
0,3718743
0,37307
0,1784481
0,1430538
-0,109616
-0,2708738
0,03891224
-0,3695872
0,05432433
0,4733201
-0,2582159
-0,2290512
0,4367416
0,01725501
0,0002132058
0,2492989
0,05400091
-0,1140714
0,02732092
0,2551709
0,01038963
0,07766253
0,3451169
0,3844961
-0,491733
-0,3677928
0,4224991
-0,4052632
0,2147717
0,2048695
-0,214851
0,2686604
-0,443976
-0,02073616
-0,3173523
0,2993642
0,1162114
-0,02768308
-0,424839
0,06752104
-0,3001058
-0,4807707
0,4453663
-0,105749
-0,161756
0,4317307
-0,123164
0,4401865
-0,03698915
0,2654049
-0,4898721
-0,4407998
-0,1097608
0,3428273
0,4768054
-0,2078198
0,366609
0,05439693
-0,07013518
-0,3537797
-0,3041273
0,3500371
0,07146209
0,01153606
-0,04568321
0,4413863
0,1362237
0,3675646
0,3150638
-0,2232571
0,004402816
0,2330586
-0,04444617
0,0358941
0,3317833
-0,4404072
0,03184742
-0,3951224
-0,389022
-0,2229018
0,095478
-0,3379283
0,02358562
0,3109368
-0,2968557
0,4523464
0,2333311
-0,4711175
0,1930134
0,06571192
0,01409227
0,0547666
-0,1241153
0,3047527
0,3268036
-0,0337823
0,2431236
0,4095556
-0,106144
0,4507884
0,2302424
0,02382714
-0,3950666
-0,2869112
0,234866
0,2228168
0,03288811
0,1230443
0,03325301
0,157966
0,4422102
0,3934168
-0,4117756
0,09156281
-0,3425924
-0,2144628
-0,3002317
-0,2258555
-0,2313371
0,02654928
0,2924796
-0,06912249
0,3808041
0,08683354
-0,299785
-0,410426
0,2315434
-0,2346616
-0,02001697
-0,4106556
-0,1705741
0,2934446
0,3046725
-0,2891753
-0,4947948
0,211297
-0,196255
0,1488815
-0,01627213
-0,2670423
-0,2617322
